"Story","Title","Result","Date","Stability","Duration (s)"
"Purchease albums","Purchease album without session","SUCCESS","2021-11-11T15:07:54.897Z[Etc/UTC]","0.0","0.46"
"Register new user","Successfull new user","SUCCESS","2021-11-11T15:07:55.36Z[Etc/UTC]","0.0","0.37"
